file,text
/audio/audio1.wav,what is the weather like in belgrade
/audio/audio2.wav,what is the weather like in belgrade
/audio/audio3.wav,what is the weather like in belgrade
/audio/audio4.wav,what is the weather like in belgrade
/audio/audio5.wav,what is the weather like in belgrade
/audio/audio6.wav,what is the weather like in belgrade
/audio/audio7.wav,what is the weather like in belgrade
/audio/audio8.wav,post review avatar is a bad movie 
/audio/audio9.wav,post review avatar is a bad movie 
/audio/audio10.wav,post review avatar is a good movie 
/audio/audio11.wav,post review avatar is a good movie 
/audio/audio12.wav,post review avatar is a bad movie 
/audio/audio13.wav,post review avatar is a bad movie 
/audio/audio14.wav,post review avatar is a bad movie 
/audio/audio15.wav,post review avatar is a bad movie 
/audio/audio16.wav,post review avatar is a good movie 
/audio/audio17.wav,post review avatar is a good movie 
/audio/audio18.wav,post review avatar is a good movie 
